,Name,Brand,Pack Size,Water Source,Falvor,Container,Price,100% Natural,Anti-Oxidant,Artesian,BPA Free Plastic,Caffeinated,Carbonated,Electrolytes,Energy Drinks,Enhanced,Ethically Sourced,Fair Trade,Flavored,Gluten FREE,Green Tea,Kosher,Low Calorie,Mineral Water,No Artifical Flavors,No Artifical Preservatives,No Artifical Sweetners,Non-Alcoholic Wine,Non GMO,Non-Sparkling Water,Nutritional,Organic,Organic Cane Sugar,Preservatice Free,Purified Water,Regular Soda,Sodium-Free,Soy FREE,Sparkling Juice,Sparkling Water,Spring Water,Sweetened,Tea,Twist off Top,USDA Organic,Under 100 Calories,30 Calories,Variety Pack,Vegan,Zero Carb,Zero Calorie,Zero Sodium,Zero Calories,Zero Sugar,Zero Sweeteners,Beverage Size,Flavor,No Artificial Preservatives,Preservative FREE,No Artificial Flavors,No Artificial Sweeteners
0,Poland Spring 16 oz Substitution - Crystal Geyser 16 oz,Crystal Geyser,35,Spring Water,,Plastic,23.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Antipodes - Sparkling Water - 1 L (6 Glass Bottles),Antipodes,6,Spring Water,,Glass,49.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Antipodes - Sparkling Water - 1 L (6 Glass Bottles),Antipodes,6,Spring Water,,Glass,49.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Antipodes - Still Water - 1 L (6 Glass Bottles),Antipodes,6,Spring Water,,Glass,49.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Antipodes - Still Water - 1 L (6 Glass Bottles),Antipodes,6,Spring Water,,Glass,49.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Antipodes - Sparkling Water - 500 ml (12 Glass Bottles),Antipodes,12,Spring Water,,Glass,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Antipodes - Sparkling Water - 500 ml (12 Glass Bottles),Antipodes,12,Spring Water,,Glass,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Antipodes - Still Water - 500 ml (12 Glass Bottles),Antipodes,12,Spring Water,,Glass,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Antipodes - Still Water - 500 ml (12 Glass Bottles),Antipodes,12,Spring Water,,Glass,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Vichy Catalan - Sparkling Water - 1 L (12 Glass Bottles),Vichy Catalan,12,Spring Water,,Glass,53.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
